vehicle_id,event,event_ts
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-02 15:19:03+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-02 16:17:14+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-02 20:39:38+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-02 21:08:20+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-03 19:28:33+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-03 20:04:41+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 01:28:51+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-04 01:58:41+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 02:40:05+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-04 03:08:13+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 15:57:39+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-04 16:44:49+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-05 15:51:18+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-05 16:35:19+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-05 19:29:30+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-05 19:59:18+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-05 23:53:36+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-06 00:15:00+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-06 15:39:06+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-06 16:23:37+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-06 19:33:42+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-06 20:15:16+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-07 03:17:12+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-07 03:52:51+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-08 15:46:15+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-08 16:19:58+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-09 15:41:11+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-09 16:15:50+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-09 19:35:43+00:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Aborted,2021-09-09 20:17:26+00:00
